case_type,customer_name,customer_email,customer_contact,attempt_count,contact_count,days_overdue,hours_since_notification,salary_proximity_days,mandate_revoked,promised_to_pay,failure_code,amount,txn_id
receivable_overdue,Neha Das,neha.das661@example.com,+912144301485,0,3,83,48.0,0,False,False,invoice_overdue,221898.0,TXN-0053
checkout_abandonment,Rohan Iyer,rohan.iyer120@example.com,+917561354663,0,0,0,48.0,0,False,False,cart_abandoned,6284.0,TXN-0036
mandate_failure,Aarav Gupta,aarav.gupta275@example.com,+911605574467,0,0,0,8.0,3,True,False,insufficient_funds,499.0,TXN-0070
mandate_failure,Meera Nair,meera.nair911@example.com,+915885708462,0,0,0,27.0,5,False,False,risk_block,499.0,TXN-0017
checkout_abandonment,Riya Pillai,riya.pillai746@example.com,+916406740682,0,2,0,48.0,0,False,False,cart_abandoned,1359.0,TXN-0041
mandate_failure,Meera Khan,meera.khan310@example.com,+915412176330,0,0,0,61.0,11,False,False,insufficient_funds,299.0,TXN-0012
checkout_abandonment,Riya Das,riya.das771@example.com,+915806337274,0,0,0,48.0,0,False,False,cart_abandoned,2857.0,TXN-0027
mandate_failure,Sara Singh,sara.singh226@example.com,+913300537607,1,0,0,36.0,-15,True,False,do_not_honor,2999.0,TXN-0015
checkout_abandonment,Aditya Khan,aditya.khan10@example.com,+916361202843,0,0,0,48.0,0,False,False,cart_abandoned,2261.0,TXN-0040
mandate_failure,Meera Sharma,meera.sharma55@example.com,+914053144614,2,0,0,87.0,-2,False,False,bank_timeout,1499.0,TXN-0002
checkout_abandonment,Vivaan Das,vivaan.das23@example.com,+912123148183,0,1,0,48.0,0,False,False,cart_abandoned,4780.0,TXN-0037
mandate_failure,Aarav Nair,aarav.nair382@example.com,+915582215436,1,0,0,56.0,-3,False,False,insufficient_funds,499.0,TXN-0013
receivable_overdue,Pooja Mehta,pooja.mehta621@example.com,+915682604852,0,2,32,48.0,0,False,False,invoice_overdue,305165.0,TXN-0054
checkout_abandonment,Rohan Pillai,rohan.pillai322@example.com,+916725132672,0,2,0,48.0,0,False,False,cart_abandoned,2401.0,TXN-0030
receivable_overdue,Rahul Gupta,rahul.gupta294@example.com,+917320780711,0,4,39,48.0,0,False,True,invoice_overdue,193587.0,TXN-0052
receivable_overdue,Meera Mehta,meera.mehta166@example.com,+911186123178,0,1,2,48.0,0,False,False,invoice_overdue,126219.0,TXN-0059
mandate_failure,Arjun Khan,arjun.khan370@example.com,+917101740107,1,0,0,82.0,3,True,False,insufficient_funds,499.0,TXN-0018
mandate_failure,Vivaan Kapoor,vivaan.kapoor447@example.com,+917030671270,0,0,0,24.0,6,False,False,insufficient_funds,2999.0,TXN-0022
mandate_failure,Priya Mehta,priya.mehta779@example.com,+914182338468,2,0,0,70.0,15,False,False,risk_block,2999.0,TXN-0020
receivable_overdue,Ananya Pillai,ananya.pillai44@example.com,+912558865275,0,5,75,48.0,0,False,False,invoice_overdue,738.0,TXN-0073
mandate_failure,Aditya Joshi,aditya.joshi682@example.com,+910133885004,2,0,0,66.0,0,True,False,insufficient_funds,99.0,TXN-0065
checkout_abandonment,Sneha Singh,sneha.singh401@example.com,+910568655100,0,2,0,48.0,0,False,False,cart_abandoned,7248.0,TXN-0043
receivable_overdue,Vivaan Sharma,vivaan.sharma656@example.com,+913241325680,0,2,24,48.0,0,False,False,invoice_overdue,166859.0,TXN-0046
